delta_mw,converged,corridor_flow,max_line_loading,min_voltage,max_voltage,feasible,limiting_kind,limiting_idx
0.0,True,2498.2824057139487,89.15412496331886,0.9778119824647895,1.0563291697709865,True,-,-1
50.0,True,2549.148357541815,89.85531873564983,0.9767954712261233,1.0535286333829734,True,-,-1
100.0,True,2600.2599024142414,90.56436810293594,0.975724616666049,1.050595553550624,True,-,-1
150.0,True,2651.629941799991,91.28171537605967,0.9745968813631868,1.0475213147264975,True,-,-1
200.0,True,2703.2729051713873,92.32895743210818,0.9734094294263935,1.0458713082810818,True,-,-1
250.0,True,2755.205015213173,93.54702125225498,0.9721590756614047,1.0458382715233465,True,-,-1
300.0,True,2807.4470915966012,94.77913191543651,0.9708428728303472,1.0458036123660943,True,-,-1
350.0,True,2860.029327280816,96.03083658391618,0.9694579312192758,1.0457673522399002,True,-,-1
400.0,True,2912.972925156357,97.30002076305293,0.9679954851261053,1.0457291256169396,True,-,-1
450.0,True,2966.333487706712,98.59279746946757,0.96644083229748,1.0456885248806307,True,-,-1
500.0,True,3020.1221427073965,99.90658801307193,0.9647953337867887,1.0456455649570509,True,-,-1
550.0,True,3074.381071407565,101.24377069951949,0.9630507200692969,1.0456000100625187,True,-,-1
600.0,True,3129.1611444340606,102.60719626167871,0.9611970414798965,1.0455515757989222,True,-,-1
650.0,True,3184.524686409114,104.00033556404738,0.9592221383640263,1.0454999136991545,True,-,-1
700.0,True,3240.549494773377,105.42749339833153,0.9571108718616155,1.045444588764741,True,-,-1
750.0,True,3297.355431576345,106.89811805362817,0.9548337239466103,1.045384683672428,True,-,-1
800.0,True,3355.078581718475,108.4196040026167,0.9523653403969827,1.0453194760185605,True,-,-1
850.0,True,3413.889898136875,109.99954707353754,0.9496769155446355,1.0452481742959743,False,vlow,971
